,ID,NAME
194,UCJES7pjHlSyxjEOdb1PNTrA,Will Shen嬸嬸
195,UCJP8p8a_w5qIQk5PAMNzz8Q,牛叔说电影
196,UCSQDBUyq0Pqko3TFcPrMZAg,老頭 Old Man
197,UClrEYreVkBee7ZQYei_6Jqg,大愛電視 Tzu Chi DaAiVideo
198,UC9xIQpmr26OX_0ddvYDde7g,Live 堯
199,UCZnk70gBD8P6mPe9PDkj-eg,Life樂生活
200,UCH1jieeP7Ecpo4s-pPT9FWQ,JR Lee Radio
201,UCiEHmW7zRRZIjBsOKZ4s5AA,哈記
202,UC8Gm6D9Y1iS1tHMrT-Mc9jw,FHMTW
203,UCqt2wXDIAih8_OC4rOgMSyA,你現在收看的是RED
204,UCIU8ha-NHmLjtUwU7dFiXUA,SETN三立新聞網
205,UCQT0OQXP4wndmrB66JYmLGg,靖元
206,UCkcXGXQQi4yzChVZ-xYc2Ww,MXuan 董默
207,UCeWpnecfnSp5biVPfJyNNJg,老高 Godspeed
208,UCdUp5t3-EvttAOofRqpeGBQ,6YingWei快樂姊
209,UCnfQv7kzO0AWxGursU1GSKg,Hsu
210,UCkVeDTyXgHbAs-wgvwr-miw,巧克力Live直播台
211,UC5VFvRqJYiLp2jzWvix9O0w,緯來綜合台
212,UCDHFwAm3jNzA1jyL8_Fb25w,C's English Corner 英文角落
213,UCJdMrdkCXs5FkR3DHlor81w,嘎老師 Miss Ga
214,UCjpOUB7ejhZGdo4FG0FJH8Q,小A辣
215,UConGzTzcZb5iw6Ic0Jf7jIA,魚乾 - LIVE直播
216,UC-B7aBOFc2hUcCxricMazuQ,怪物彈珠〈Monster Strike_TW〉
217,UC02UVoPQeVi5yVJAMmn1Fmw,全民 瘋車Bar
218,UC_EFAJRh-VI6unUG1IcRE3w,TGOP 這群人廣告娛樂
219,UCwIC7PSwQ2XcJP5y4Zv20Iw,紅石口袋 RedStone Poke
220,UClFho4Masrje8KWJKtzWV0A,Naup 納歐
221,UCpLZwIVLHGwmffU3ciWZF5Q,江佩諭
222,UCXpbSh6g1ZWHxk-UQv86VzA,LoganDBeck 小貝
223,UCpOoMeWtFFi9umoK13jLmEw,無名氏 Regularthur
224,UC0G6_6cFX7TU1dTFiluNDAQ,朱綺綺
225,UCKl0gSq0JOcdzXTrS4gk2cg,VOGUE Taiwan
226,UC26yzarWe2NjWqemG-kHWZA,壞東西
227,UCIa2J-D_OQf7h-WIwV4ApnQ,Jason Piano
228,UCiUqtdcv4uVmpW7Mmqfh1Yg,瘋狂生活外掛
